Script directory: /home/tihan6g/O-RAN-Testbed-Automation/OpenAirInterface_Testbed/Next_Generation_Node_B/configs/gnb.conf
[UTIL]   running in SA mode (no --phy-test, --do-ra, --nsa option present)
UE 4ee2: ulsch_rounds 5982/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX            933 RX        1965492 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX            556 bytes

[0m[NR_MAC]   Frame.Slot 512.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 26/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.01853 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 6622/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX            975 RX        2224820 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX            556 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 27/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.01668 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 7262/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX            996 RX        2484148 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX            556 bytes

[0m[NR_MAC]   Frame.Slot 768.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 28/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.01501 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 7902/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           1017 RX        2743476 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX            556 bytes

[0m[NR_MAC]   Frame.Slot 896.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 30/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.01216 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 8542/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           1059 RX        3002804 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX            762 bytes

[0m[NR_MAC]   Frame.Slot 0.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 31/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.01094 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 9182/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           1080 RX        3262132 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX            762 bytes

[0m[NR_MAC]   Frame.Slot 128.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 32/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00985 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 9822/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           1101 RX        3521460 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX            762 bytes

[0m[NR_MAC]   Frame.Slot 256.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 33/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00886 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 10462/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           1122 RX        3780788 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX            762 bytes

[0m[NR_MAC]   Frame.Slot 384.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 35/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00718 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 11102/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           1164 RX        4040116 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX            968 bytes

[0m[NR_MAC]   Frame.Slot 512.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 36/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00646 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 11742/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           1185 RX        4299444 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX            968 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 37/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00581 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 12382/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           1206 RX        4558772 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX            968 bytes

[0m[NR_MAC]   Frame.Slot 768.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 39/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00471 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 13022/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           1248 RX        4818100 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX            968 bytes

[0m[NR_MAC]   Frame.Slot 896.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 40/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00424 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 13663/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           1269 RX        5077908 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1365 bytes

[0m[NR_MAC]   Frame.Slot 0.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 41/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00382 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 14303/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           1290 RX        5337236 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1365 bytes

[0m[NR_MAC]   Frame.Slot 128.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 42/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00343 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 14943/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           1311 RX        5596564 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1365 bytes

[0m[NR_MAC]   Frame.Slot 256.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 44/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00278 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 15583/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           1353 RX        5855892 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1410 bytes

[0m[NR_MAC]   Frame.Slot 384.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 45/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00250 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 16223/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           1374 RX        6115220 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1556 bytes

[0m[NR_MAC]   Frame.Slot 512.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 46/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00225 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 16863/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           1395 RX        6374548 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1556 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 47/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00203 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 17503/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           1416 RX        6633876 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1556 bytes

[0m[NR_MAC]   Frame.Slot 768.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 49/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00164 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 18143/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           1458 RX        6893204 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1556 bytes

[0m[NR_MAC]   Frame.Slot 896.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 50/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00148 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 18783/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           1479 RX        7152532 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1556 bytes

[0m[NR_MAC]   Frame.Slot 0.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 51/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00133 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 19423/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           1500 RX        7411860 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1556 bytes

[0m[NR_MAC]   Frame.Slot 128.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 53/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00108 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 20063/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           1542 RX        7671188 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1556 bytes

[0m[NR_MAC]   Frame.Slot 256.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 54/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00097 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 20703/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           1563 RX        7930516 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1556 bytes

[0m[NR_MAC]   Frame.Slot 384.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 55/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00087 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 21344/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           1584 RX        8190324 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 512.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 56/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00079 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 21984/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           1605 RX        8449652 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 58/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00064 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 22624/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           1647 RX        8708980 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 768.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 59/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00057 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 23264/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           1668 RX        8968308 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 896.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 60/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00052 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 23904/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           1689 RX        9227636 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 0.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 62/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00042 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 24544/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           1731 RX        9486964 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 128.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 63/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00038 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 25184/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           1752 RX        9746292 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 256.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 64/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00034 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 25824/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           1773 RX       10005620 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 384.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 65/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00030 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 26464/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           1794 RX       10264948 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 512.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 67/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00025 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 27104/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           1836 RX       10524276 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 68/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00022 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 27744/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           1857 RX       10783604 bytes
